block_diagonal,corr_first,corr_second,prop_non_zero,FDR_rand_plus_MS,FDR_rand_only,FDR_MS_only,TPR_rand_plus_MS,TPR_rand_only,TPR_MS_only,round_prop_non_zero
1.0,0.0,0.0,0.050000000000000044,0.18623631270690094,0.0994949494949495,0.18943278943278943,0.97,0.8700000000000001,0.55,0.05
1.0,0.0,0.0,0.09999999999999998,0.16291809068124857,0.16295817708861188,0.1756043956043956,0.8550000000000001,0.71,0.25,0.1
1.0,0.0,0.0,0.15000000000000002,0.2591720779220779,0.14099044795783927,0.2908369408369408,0.6733333333333332,0.44666666666666666,0.10666666666666666,0.15
1.0,0.0,0.0,0.19999999999999996,0.24549164529286296,0.13913398692810458,0.26082706766917296,0.4,0.195,0.0725,0.2
1.0,0.0,0.0,0.25,0.3611414581202941,0.18744334440928867,0.1893719806763285,0.398,0.166,0.044,0.25
1.0,0.0,0.0,0.30000000000000004,0.3176823550199671,0.15171356421356422,0.24871794871794872,0.31500000000000006,0.12,0.06833333333333333,0.3
1.0,0.0,0.1,0.050000000000000044,0.19011743158801986,0.1321212121212121,0.17034188034188036,0.97,0.8800000000000001,0.6799999999999999,0.05
1.0,0.0,0.1,0.09999999999999998,0.17383619534770428,0.15704014939309058,0.21488095238095237,0.8550000000000001,0.68,0.24999999999999994,0.1
1.0,0.0,0.1,0.15000000000000002,0.23317928901153687,0.10835545935545936,0.27261904761904765,0.63,0.4133333333333334,0.09333333333333332,0.15
1.0,0.0,0.1,0.19999999999999996,0.2596051491379891,0.11333499833499831,0.3152173913043478,0.515,0.25,0.05000000000000001,0.2
1.0,0.0,0.1,0.25,0.3909507246951427,0.17746385115310948,0.14833333333333332,0.44399999999999995,0.182,0.031999999999999994,0.25
1.0,0.0,0.1,0.30000000000000004,0.3705466107271489,0.2762273832978167,0.075,0.34833333333333333,0.17833333333333334,0.04666666666666667,0.3
1.0,0.0,0.2,0.050000000000000044,0.15013574660633486,0.09166278166278166,0.23198996655518395,0.93,0.8600000000000001,0.6100000000000001,0.05
1.0,0.0,0.2,0.09999999999999998,0.18445205618479277,0.17464299116775897,0.17801587301587302,0.7949999999999999,0.6400000000000001,0.28500000000000003,0.1
1.0,0.0,0.2,0.15000000000000002,0.21025255628481437,0.13754079254079252,0.24448717948717946,0.69,0.44000000000000006,0.08333333333333333,0.15
1.0,0.0,0.2,0.19999999999999996,0.37751199467597013,0.22085839598997495,0.28538565871692806,0.5275000000000001,0.305,0.12,0.2
1.0,0.0,0.2,0.25,0.3768985682266514,0.1950574225874076,0.2595454545454546,0.45999999999999996,0.20800000000000002,0.046,0.25
1.0,0.0,0.2,0.30000000000000004,0.3817204037097654,0.26399630297463117,0.1661828367710721,0.35500000000000004,0.15166666666666667,0.06333333333333332,0.3
1.0,0.0,0.3,0.050000000000000044,0.17700757575757578,0.1414069264069264,0.19046911421911422,0.9,0.85,0.64,0.05
1.0,0.0,0.3,0.09999999999999998,0.2933175872252464,0.08324254692675745,0.11499999999999999,0.785,0.5850000000000001,0.25999999999999995,0.1
1.0,0.0,0.3,0.15000000000000002,0.19843575587053847,0.2832947444712151,0.19575757575757577,0.5833333333333334,0.42333333333333334,0.14666666666666667,0.15
1.0,0.0,0.3,0.19999999999999996,0.3488630653513914,0.2529040404040404,0.21333333333333332,0.465,0.25749999999999995,0.06999999999999999,0.2
1.0,0.0,0.3,0.25,0.4147322202056453,0.26647072226019597,0.1,0.472,0.21799999999999997,0.039999999999999994,0.25
1.0,0.0,0.3,0.30000000000000004,0.37492722958695135,0.2626216077828981,0.11666666666666665,0.4133333333333334,0.20166666666666666,0.03833333333333333,0.3
1.0,0.0,0.4,0.050000000000000044,0.2130429292929293,0.15794733044733045,0.2319047619047619,0.8099999999999999,0.72,0.53,0.05
1.0,0.0,0.4,0.09999999999999998,0.21446530765416214,0.22954454858866624,0.21151515151515152,0.7550000000000001,0.525,0.23500000000000001,0.1
1.0,0.0,0.4,0.15000000000000002,0.2926074908316288,0.15458381487793255,0.2421473354231975,0.66,0.4,0.20333333333333337,0.15
1.0,0.0,0.4,0.19999999999999996,0.3565860465860466,0.2936354005471652,0.12272727272727273,0.4950000000000001,0.275,0.1025,0.2
1.0,0.0,0.4,0.25,0.3598367219419852,0.19819042799305958,0.13333333333333333,0.4640000000000001,0.22600000000000003,0.06999999999999999,0.25
1.0,0.0,0.4,0.30000000000000004,0.3709788795110768,0.25965889041388135,0.2496969696969697,0.37333333333333324,0.22166666666666673,0.05500000000000001,0.3
1.0,0.1,0.0,0.050000000000000044,0.18654600301659124,0.09896076146076146,0.22827380952380955,0.9800000000000001,0.8800000000000001,0.54,0.05
1.0,0.1,0.0,0.09999999999999998,0.20611227902532248,0.0924570282658518,0.24038461538461542,0.8399999999999999,0.67,0.255,0.1
1.0,0.1,0.0,0.15000000000000002,0.1966028448851029,0.16229835953520164,0.1619047619047619,0.6666666666666667,0.42333333333333345,0.07666666666666666,0.15
1.0,0.1,0.0,0.19999999999999996,0.4156898414003317,0.24327030812324932,0.41666666666666663,0.47000000000000003,0.175,0.03250000000000001,0.2
1.0,0.1,0.0,0.25,0.4030890060367451,0.1317422051632578,0.32916666666666666,0.48600000000000004,0.182,0.06000000000000001,0.25
1.0,0.1,0.0,0.30000000000000004,0.38402760196738284,0.2560927318295739,0.2688405797101449,0.365,0.1816666666666667,0.039999999999999994,0.3
1.0,0.1,0.1,0.050000000000000044,0.2125041625041625,0.12434343434343434,0.21632696007696003,0.97,0.8700000000000001,0.6900000000000001,0.05
1.0,0.1,0.1,0.09999999999999998,0.2186790101324685,0.1298458159300803,0.24081168831168828,0.85,0.675,0.24500000000000002,0.1
1.0,0.1,0.1,0.15000000000000002,0.29214288423196166,0.1247039072039072,0.27999999999999997,0.7266666666666667,0.44000000000000006,0.043333333333333335,0.15
1.0,0.1,0.1,0.19999999999999996,0.3540132435706329,0.1685947712418301,0.48317805383022777,0.42250000000000004,0.17250000000000001,0.08499999999999999,0.2
1.0,0.1,0.1,0.25,0.47486108951860284,0.20440525221252775,0.39452380952380955,0.41400000000000003,0.19,0.06200000000000001,0.25
1.0,0.1,0.1,0.30000000000000004,0.3461611139962185,0.20623015873015876,0.13,0.32333333333333336,0.13833333333333334,0.03333333333333334,0.3
1.0,0.1,0.2,0.050000000000000044,0.17635697635697636,0.13141025641025644,0.2234090909090909,0.93,0.8400000000000002,0.64,0.05
1.0,0.1,0.2,0.09999999999999998,0.2353179972201711,0.15264823154142038,0.17293939393939395,0.7899999999999999,0.61,0.28500000000000003,0.1
1.0,0.1,0.2,0.15000000000000002,0.25448917698282775,0.17415404040404042,0.2779166666666667,0.7033333333333333,0.4766666666666667,0.09333333333333334,0.15
1.0,0.1,0.2,0.19999999999999996,0.2833195635204796,0.10539010989010988,0.4321428571428571,0.49750000000000005,0.21999999999999997,0.0825,0.2
1.0,0.1,0.2,0.25,0.35812204805544695,0.17644841269841266,0.2458333333333333,0.42200000000000004,0.194,0.052000000000000005,0.25
1.0,0.1,0.2,0.30000000000000004,0.3310859745885949,0.16135443503864555,0.19393939393939394,0.32999999999999996,0.13833333333333334,0.04666666666666666,0.3
1.0,0.1,0.3,0.050000000000000044,0.19558441558441558,0.15053030303030304,0.22503030303030305,0.8700000000000001,0.8100000000000002,0.5700000000000001,0.05
1.0,0.1,0.3,0.09999999999999998,0.25636212325686014,0.13941558441558438,0.08499999999999999,0.775,0.5950000000000001,0.31500000000000006,0.1
1.0,0.1,0.3,0.15000000000000002,0.24099058173013618,0.1289521106912411,0.2202380952380952,0.6533333333333333,0.42000000000000004,0.10333333333333332,0.15
1.0,0.1,0.3,0.19999999999999996,0.39961593685176944,0.27235070839930176,0.23666666666666666,0.5375,0.2625,0.0925,0.2
1.0,0.1,0.3,0.25,0.3916909080748595,0.22988816738816736,0.26066666666666666,0.454,0.23199999999999998,0.06000000000000001,0.25
1.0,0.1,0.3,0.30000000000000004,0.4206296034320302,0.21661678749527047,0.08571428571428572,0.41166666666666674,0.18166666666666667,0.06166666666666667,0.3
1.0,0.1,0.4,0.050000000000000044,0.23950980392156862,0.12787878787878787,0.05641025641025641,0.8400000000000001,0.74,0.52,0.05
1.0,0.1,0.4,0.09999999999999998,0.23727395591526027,0.12269813519813519,0.18240093240093241,0.735,0.47000000000000003,0.32000000000000006,0.1
1.0,0.1,0.4,0.15000000000000002,0.29987082967289846,0.13542568542568542,0.1683511586452763,0.6199999999999999,0.3533333333333333,0.14333333333333334,0.15
1.0,0.1,0.4,0.19999999999999996,0.3568602955015998,0.2505209430209431,0.07307692307692308,0.45499999999999996,0.2725,0.10750000000000001,0.2
1.0,0.1,0.4,0.25,0.3531700601969728,0.2346969696969697,0.17833333333333332,0.422,0.22000000000000003,0.07999999999999999,0.25
1.0,0.1,0.4,0.30000000000000004,0.3750176691169474,0.21314346884999055,0.27885447885447884,0.38333333333333336,0.20999999999999996,0.05833333333333335,0.3
1.0,0.2,0.0,0.050000000000000044,0.1865367965367965,0.09242424242424244,0.17476551226551226,0.96,0.8300000000000001,0.6199999999999999,0.05
1.0,0.2,0.0,0.09999999999999998,0.26358588150979456,0.15003413920175934,0.12129870129870128,0.8600000000000001,0.67,0.21999999999999997,0.1
1.0,0.2,0.0,0.15000000000000002,0.24855637010048776,0.12138351382916598,0.2698412698412698,0.6633333333333333,0.36666666666666664,0.09333333333333334,0.15
1.0,0.2,0.0,0.19999999999999996,0.3933412115224058,0.29547008547008546,0.4837267080745341,0.51,0.21749999999999997,0.06250000000000001,0.2
1.0,0.2,0.0,0.25,0.36277150779534234,0.1442982456140351,0.3252813852813852,0.45200000000000007,0.202,0.1,0.25
1.0,0.2,0.0,0.30000000000000004,0.38664405725474726,0.27100593117217153,0.06666666666666667,0.4,0.20166666666666666,0.03,0.3
1.0,0.2,0.1,0.050000000000000044,0.1634265734265734,0.15465673215673217,0.17646520146520145,0.95,0.8400000000000001,0.45999999999999996,0.05
1.0,0.2,0.1,0.09999999999999998,0.24353499471119608,0.10162097162097161,0.20212454212454217,0.775,0.555,0.255,0.1
1.0,0.2,0.1,0.15000000000000002,0.2662744961600644,0.1269137529137529,0.2375,0.7199999999999999,0.47000000000000003,0.12666666666666668,0.15
