block_diagonal,corr_first,corr_second,prop_non_zero,FDR_rand_plus_MS,FDR_rand_only,FDR_MS_only,FDR_MDS_only,TPR_rand_plus_MS,TPR_rand_only,TPR_MS_only,TPR_MDS_only,POWER_rand_plus_MS,POWER_rand_only,POWER_MS_only,POWER_MDS_only,round_prop_non_zero
1.0,0.0,0.0,0.025000000000000022,0.09525844525844525,0.11970830841798583,0.13979759556198607,0.02222222222222222,1.0,1.0,1.0,0.7,1.0,1.0,1.0,0.7,0.025
1.0,0.0,0.0,0.050000000000000044,0.07565885553687976,0.10277693291424758,0.09549556796767497,0.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.6,0.05
1.0,0.5,0.0,0.025000000000000022,0.06814498966033493,0.186101267693659,0.06445621726951649,0.028844897642851607,0.8160000000000001,0.8,0.808,0.8,0.8160000000000001,0.8,0.808,0.8,0.025
1.0,0.5,0.0,0.050000000000000044,0.035336186822700545,0.14272705193357366,0.05381603804312422,0.0024390243902439024,0.772,0.7080000000000001,0.7380000000000001,0.7539999999999999,0.772,0.7080000000000001,0.7380000000000001,0.7539999999999999,0.05
0.0,0.0,0.0,0.025000000000000022,0.1259882201882709,0.12373978141497606,0.09983895414929896,0.013793103448275862,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.8,0.025
0.0,0.0,0.0,0.050000000000000044,0.047770826821881204,0.1077457630373746,0.0958092115751214,0.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.4,0.05
0.0,0.5,0.0,0.025000000000000022,0.07098284033767903,0.15206222150212206,0.0750699531949532,0.014814814814814814,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9,0.025
0.0,0.5,0.0,0.050000000000000044,0.11557365388993254,0.119881407657299,0.09285410592976118,0.00392156862745098,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.6,0.05
