block_diagonal,corr_first,corr_second,prop_non_zero,FDR_rand_plus_MS,FDR_rand_only,FDR_MS_only,FDR_MDS_only,TPR_rand_plus_MS,TPR_rand_only,TPR_MS_only,TPR_MDS_only,POWER_rand_plus_MS,POWER_rand_only,POWER_MS_only,POWER_MDS_only,round_prop_non_zero
1.0,0.0,0.0,0.050000000000000044,0.08673914285868743,0.13348244561745676,0.08999717555752038,0.026098901098901096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05
1.0,0.0,0.0,0.09999999999999998,0.07857507303046743,0.0923230517083629,0.10192877511163431,0.01301247771836007,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9,0.1
1.0,0.0,0.0,0.15000000000000002,0.08166301284436892,0.08255353056229008,0.10208926053850483,0.018121693121693122,1.0,1.0,0.9453333333333335,0.9946666666666667,1.0,1.0,0.9453333333333335,0.9946666666666667,0.15
1.0,0.0,0.0,0.19999999999999996,0.06831383482937925,0.07536796171034706,0.17809511053131682,0.07068849844131234,1.0,0.999,0.48200000000000004,0.9469999999999998,1.0,0.999,0.48200000000000004,0.9469999999999998,0.2
1.0,0.1,0.0,0.050000000000000044,0.07718283894754482,0.13805386470827646,0.0974799064899176,0.022792022792022793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05
1.0,0.1,0.0,0.09999999999999998,0.08310146684905724,0.10317129785879138,0.1337132184816424,0.0056603773584905665,1.0,1.0,1.0,0.9960000000000001,1.0,1.0,1.0,0.9960000000000001,0.1
1.0,0.1,0.0,0.15000000000000002,0.06813914788538362,0.0867827736870363,0.08816456208969772,0.015047180034343067,1.0,1.0,0.9306666666666666,0.9946666666666667,1.0,1.0,0.9306666666666666,0.9946666666666667,0.15
1.0,0.1,0.0,0.19999999999999996,0.06888346615663041,0.06823054256182248,0.2068521309854428,0.043531021516982224,1.0,1.0,0.4959999999999999,0.9280000000000002,1.0,1.0,0.4959999999999999,0.9280000000000002,0.2
1.0,0.3,0.0,0.050000000000000044,0.07834757834757833,0.14798893982361722,0.0970756813202259,0.0150997150997151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05
1.0,0.3,0.0,0.09999999999999998,0.07901918688909751,0.125418491184401,0.10375295833096916,0.009653092006033183,1.0,1.0,0.998,0.994,1.0,1.0,0.998,0.994,0.1
