block_diagonal,corr_first,corr_second,prop_non_zero,FDR_rand_plus_MS,FDR_rand_only,FDR_MS_only,TPR_rand_plus_MS,TPR_rand_only,TPR_MS_only,round_prop_non_zero
1.0,0.0,0.0,0.050000000000000044,0.1078661876509158,0.14215975993993235,0.06065920031437272,1.0,1.0,1.0,0.05
1.0,0.0,0.0,0.09999999999999998,0.09640355458346558,0.12230615685609572,0.09375389553730587,1.0,1.0,1.0,0.1
1.0,0.0,0.0,0.15000000000000002,0.10259596940656683,0.10363251910603104,0.1489182958948662,1.0,1.0,0.8546666666666667,0.15
1.0,0.0,0.0,0.19999999999999996,0.0871871822825978,0.08291928409557855,0.12166166702472785,1.0,1.0,0.476,0.2
1.0,0.1,0.0,0.050000000000000044,0.10043939933911634,0.14031329485817318,0.062114226769399185,1.0,1.0,1.0,0.05
1.0,0.1,0.0,0.09999999999999998,0.1149520891849521,0.11648083632722814,0.11318075423370613,1.0,1.0,1.0,0.1
1.0,0.1,0.0,0.15000000000000002,0.10879662303170841,0.10092247075804417,0.17746101854700186,1.0,1.0,0.8533333333333335,0.15
1.0,0.1,0.0,0.19999999999999996,0.07714229911894632,0.09120136924260096,0.1820494277815126,1.0,0.999,0.528,0.2
1.0,0.2,0.0,0.050000000000000044,0.06986161986161984,0.142148747878971,0.08264537135504876,1.0,1.0,1.0,0.05
1.0,0.2,0.0,0.09999999999999998,0.11013601356616307,0.10421318590257696,0.1164809790654496,1.0,1.0,0.9899999999999999,0.1
1.0,0.2,0.0,0.15000000000000002,0.10632300469737568,0.10691589506115236,0.1543029789868128,1.0,1.0,0.8853333333333332,0.15
1.0,0.2,0.0,0.19999999999999996,0.07555877000310728,0.0937443352719748,0.08914191524003597,1.0,0.999,0.6030000000000001,0.2
1.0,0.3,0.0,0.050000000000000044,0.10691149874617618,0.12294668508169622,0.07833671704639446,1.0,1.0,1.0,0.05
1.0,0.3,0.0,0.09999999999999998,0.11772031239974123,0.10692612235624706,0.11529732243385278,1.0,1.0,0.9860000000000001,0.1
1.0,0.3,0.0,0.15000000000000002,0.10467387138154324,0.10440721804300776,0.10158427722318539,1.0,0.9973333333333333,0.8853333333333333,0.15
1.0,0.3,0.0,0.19999999999999996,0.08983511190265503,0.09460592378265001,0.07413839504134936,1.0,0.999,0.483,0.2
1.0,0.4,0.0,0.050000000000000044,0.10543276914244656,0.11252367896903495,0.0783003663003663,1.0,1.0,0.968,0.05
1.0,0.4,0.0,0.09999999999999998,0.10456645680609973,0.08910507963793181,0.09685930735930734,1.0,0.998,0.952,0.1
1.0,0.4,0.0,0.15000000000000002,0.11154847141824867,0.09216784083258092,0.0942098030898664,1.0,0.9986666666666666,0.7826666666666666,0.15
1.0,0.4,0.0,0.19999999999999996,0.10907267174548338,0.09295470501028466,0.07875828447318242,0.999,0.9910000000000002,0.5820000000000001,0.2
1.0,0.5,0.0,0.050000000000000044,0.1080583554376658,0.17773928969581143,0.07685300207039338,0.8240000000000001,0.7599999999999999,0.7799999999999999,0.05
1.0,0.5,0.0,0.09999999999999998,0.07592932136234609,0.1305391761247422,0.08013330491317312,0.752,0.6960000000000001,0.7020000000000001,0.1
1.0,0.5,0.0,0.15000000000000002,0.09767182212855174,0.1094990559182839,0.05397146841215165,0.7826666666666666,0.6839999999999999,0.568,0.15
1.0,0.5,0.0,0.19999999999999996,0.09730369102005967,0.0928187756771007,0.03892201326673115,0.7609999999999999,0.65,0.531,0.2
0.0,0.0,0.0,0.050000000000000044,0.12738305380293208,0.13549933862433863,0.10481832981832981,1.0,1.0,1.0,0.05
0.0,0.0,0.0,0.09999999999999998,0.08291603704489366,0.1028194858708847,0.0914270496069606,1.0,1.0,1.0,0.1
0.0,0.0,0.0,0.15000000000000002,0.08523774085304175,0.07563987987560655,0.09665043846712477,1.0,1.0,0.9760000000000002,0.15
0.0,0.0,0.0,0.19999999999999996,0.08433198591013154,0.06443333129143222,0.10165182357599993,1.0,1.0,0.6289999999999999,0.2
0.0,0.1,0.0,0.050000000000000044,0.1087043264844989,0.1379912158309724,0.14158293013781958,1.0,1.0,1.0,0.05
0.0,0.1,0.0,0.09999999999999998,0.08093666806490599,0.10586956484118967,0.11422919493731924,1.0,1.0,1.0,0.1
0.0,0.1,0.0,0.15000000000000002,0.08874270450006852,0.07720316430326438,0.0961488910475199,1.0,1.0,0.9746666666666668,0.15
0.0,0.1,0.0,0.19999999999999996,0.08504466189008822,0.06698362203084732,0.08760452853213894,1.0,1.0,0.5980000000000001,0.2
0.0,0.2,0.0,0.050000000000000044,0.11070110063029026,0.13645854413373878,0.11637473714945416,1.0,1.0,1.0,0.05
0.0,0.2,0.0,0.09999999999999998,0.08974603162595338,0.10921831747603072,0.13311186712187822,1.0,1.0,1.0,0.1
0.0,0.2,0.0,0.15000000000000002,0.08257639667757465,0.07577416370396813,0.08221125429446537,1.0,1.0,0.9640000000000001,0.15
0.0,0.2,0.0,0.19999999999999996,0.07942475490677585,0.07329216126541944,0.1190930272528005,1.0,1.0,0.502,0.2
0.0,0.3,0.0,0.050000000000000044,0.08273897239414481,0.13905127015179852,0.11420201662137146,1.0,1.0,1.0,0.05
0.0,0.3,0.0,0.09999999999999998,0.10524921049340594,0.1008272819210371,0.10314411082509276,1.0,1.0,0.998,0.1
0.0,0.3,0.0,0.15000000000000002,0.08166303239415416,0.07716099568290537,0.08926082847240892,1.0,1.0,0.9773333333333334,0.15
0.0,0.3,0.0,0.19999999999999996,0.07679755682088572,0.07604906003017506,0.06495858759583467,1.0,1.0,0.567,0.2
0.0,0.4,0.0,0.050000000000000044,0.06184926184926184,0.1185517228620677,0.08346933213451566,1.0,1.0,1.0,0.05
0.0,0.4,0.0,0.09999999999999998,0.08697186107621183,0.1016237494588329,0.10677329884633494,1.0,1.0,0.9940000000000001,0.1
0.0,0.4,0.0,0.15000000000000002,0.07082177335023886,0.0732855234626508,0.11558645673129435,1.0,1.0,0.96,0.15
0.0,0.4,0.0,0.19999999999999996,0.10304074746126346,0.0611738779770157,0.0932865014557295,1.0,0.999,0.537,0.2
0.0,0.5,0.0,0.050000000000000044,0.07814877092894335,0.1302968744969252,0.08019943019943018,1.0,1.0,1.0,0.05
0.0,0.5,0.0,0.09999999999999998,0.07417134790183112,0.10199880672016895,0.0883256885001203,1.0,1.0,0.9879999999999999,0.1
0.0,0.5,0.0,0.15000000000000002,0.05699608363289403,0.0702946892004653,0.1057936079612511,0.9986666666666666,0.992,0.9306666666666666,0.15
0.0,0.5,0.0,0.19999999999999996,0.10584031571133164,0.06110261019939932,0.1576701920377629,0.9960000000000001,0.9869999999999999,0.5820000000000001,0.2
