FDR_Rand_MS,FDR_DS,FDR_MDS,TPR_Rand_MS,TPR_DS,TPR_MDS,successsfull_run,rho,signal_strength
0.2857142857142857,0.09375,0.03125,0.6,0.58,0.62,1.0,0.5,3.0
0.0,0.038461538461538464,0.0625,0.56,0.5,0.6,1.0,0.5,3.0
0.17142857142857143,0.18181818181818182,0.03225806451612903,0.58,0.54,0.6,1.0,0.5,3.0
0.058823529411764705,0.09375,0.0,0.64,0.58,0.58,1.0,0.5,3.0
0.0967741935483871,0.038461538461538464,0.10714285714285714,0.56,0.5,0.5,1.0,0.5,3.0
0.15151515151515152,0.03571428571428571,0.10344827586206896,0.56,0.54,0.52,1.0,0.5,3.0
0.2571428571428571,0.05,0.1935483870967742,0.52,0.38,0.5,1.0,0.5,3.0
0.0,0.0,0.13333333333333333,0.54,0.42,0.52,1.0,0.5,3.0
0.12903225806451613,0.038461538461538464,0.0,0.54,0.5,0.52,1.0,0.5,3.0
0.034482758620689655,0.04,0.0,0.56,0.48,0.58,1.0,0.5,3.0
0.0,0.0,0.0,0.48,0.38,0.44,1.0,0.5,3.0
0.125,0.15151515151515152,0.034482758620689655,0.56,0.56,0.56,1.0,0.5,3.0
0.19444444444444445,0.07407407407407407,0.034482758620689655,0.58,0.5,0.56,1.0,0.5,3.0
0.06666666666666667,0.07142857142857142,0.12121212121212122,0.56,0.52,0.58,1.0,0.5,3.0
0.03225806451612903,0.037037037037037035,0.0,0.6,0.52,0.6,1.0,0.5,3.0
0.08695652173913043,0.1,0.041666666666666664,0.42,0.36,0.46,1.0,0.5,3.0
0.0,0.09523809523809523,0.045454545454545456,0.32,0.38,0.42,1.0,0.5,3.0
0.16666666666666666,0.19444444444444445,0.09375,0.6,0.58,0.58,1.0,0.5,3.0
0.037037037037037035,0.07407407407407407,0.0,0.52,0.5,0.56,1.0,0.5,3.0
0.06896551724137931,0.15625,0.06896551724137931,0.54,0.54,0.54,1.0,0.5,3.0
0.10526315789473684,0.02857142857142857,0.02857142857142857,0.68,0.68,0.68,1.0,0.5,4.0
0.0,0.08823529411764706,0.029411764705882353,0.62,0.62,0.66,1.0,0.5,4.0
0.14285714285714285,0.23255813953488372,0.029411764705882353,0.72,0.66,0.66,1.0,0.5,4.0
0.1951219512195122,0.06060606060606061,0.0,0.66,0.62,0.64,1.0,0.5,4.0
0.02631578947368421,0.0,0.05263157894736842,0.74,0.64,0.72,1.0,0.5,4.0
0.11764705882352941,0.06451612903225806,0.0625,0.6,0.58,0.6,1.0,0.5,4.0
0.19047619047619047,0.10714285714285714,0.18421052631578946,0.68,0.5,0.62,1.0,0.5,4.0
0.030303030303030304,0.0,0.05714285714285714,0.64,0.5,0.66,1.0,0.5,4.0
0.1111111111111111,0.03333333333333333,0.030303030303030304,0.64,0.58,0.64,1.0,0.5,4.0
0.10810810810810811,0.0967741935483871,0.0,0.66,0.56,0.66,1.0,0.5,4.0
0.0,0.0,0.0,0.58,0.42,0.52,1.0,0.5,4.0
0.030303030303030304,0.21951219512195122,0.030303030303030304,0.64,0.64,0.64,1.0,0.5,4.0
0.11428571428571428,0.0,0.058823529411764705,0.62,0.6,0.64,1.0,0.5,4.0
0.05555555555555555,0.05714285714285714,0.05405405405405406,0.68,0.66,0.7,1.0,0.5,4.0
0.0,0.029411764705882353,0.0,0.68,0.66,0.66,1.0,0.5,4.0
0.0,0.038461538461538464,0.0,0.5,0.5,0.54,1.0,0.5,4.0
0.041666666666666664,0.13333333333333333,0.0,0.46,0.52,0.52,1.0,0.5,4.0
0.13513513513513514,0.0625,0.030303030303030304,0.64,0.6,0.64,1.0,0.5,4.0
0.0,0.1388888888888889,0.0,0.68,0.62,0.66,1.0,0.5,4.0
0.10526315789473684,0.030303030303030304,0.05405405405405406,0.68,0.64,0.7,1.0,0.5,4.0
0.05263157894736842,0.05555555555555555,0.0,0.72,0.68,0.72,1.0,0.5,5.0
0.02702702702702703,0.17073170731707318,0.0,0.72,0.68,0.7,1.0,0.5,5.0
0.14285714285714285,0.14634146341463414,0.0,0.72,0.7,0.68,1.0,0.5,5.0
0.10526315789473684,0.030303030303030304,0.0,0.68,0.64,0.66,1.0,0.5,5.0
0.09523809523809523,0.0,0.05,0.76,0.66,0.76,1.0,0.5,5.0
0.08333333333333333,0.08823529411764706,0.02857142857142857,0.66,0.62,0.68,1.0,0.5,5.0
